loss,acc,val_loss,val_acc
0.1618889719247818,0.9330905079841614,0.12542635202407837,1.0
0.05362413451075554,0.9808282256126404,0.06706365197896957,1.0
0.03630874305963516,0.988113522529602,0.06002114340662956,1.0
0.020062681287527084,0.9944401979446411,0.051645345985889435,1.0
0.01944146491587162,0.9915643930435181,0.02993735298514366,1.0
0.018546752631664276,0.9938650131225586,0.008952999487519264,1.0
0.015233250334858894,0.9952070713043213,0.031503826379776,1.0
0.016816776245832443,0.9936733245849609,0.01091243326663971,1.0
0.008104951120913029,0.9969325065612793,0.014834480360150337,1.0
0.012873580679297447,0.9952070713043213,0.04272612929344177,1.0
0.016831623390316963,0.9946318864822388,0.0923071950674057,0.875
0.0063569024205207825,0.9976993799209595,0.0022996184416115284,1.0
0.003621109528467059,0.9990414381027222,0.0011907824082300067,1.0
0.013133297674357891,0.9963573813438416,0.003039044328033924,1.0
0.003965619020164013,0.9984662532806396,0.004035856109112501,1.0
0.005680589005351067,0.9988496899604797,0.001085926196537912,1.0
0.0031570226419717073,0.9994248747825623,0.07696881890296936,1.0
0.007962603121995926,0.9975076913833618,0.00070999248418957,1.0
0.00692914379760623,0.9975076913833618,0.0027878638356924057,1.0
0.007271287031471729,0.9976993799209595,0.002032821299508214,1.0
0.006568968761712313,0.9976993799209595,0.0010201683035120368,1.0
0.005597396288067102,0.998274564743042,0.01445230282843113,1.0
0.0034849836956709623,0.9984662532806396,0.005422383546829224,1.0
0.004343309439718723,0.9984662532806396,0.01641705445945263,1.0
0.007561973296105862,0.9969325065612793,0.21318349242210388,0.9375
0.009139002300798893,0.9971242547035217,0.0033062854781746864,1.0
0.002771673258394003,0.9986580014228821,0.0005754146259278059,1.0
0.00431090546771884,0.9988496899604797,0.07288185507059097,0.9375
0.008035187609493732,0.9976993799209595,0.008531758561730385,1.0
0.0053464979864656925,0.998274564743042,0.02795599214732647,1.0
