loss,acc,val_loss,val_acc,lr
0.16179516911506653,0.9330905079841614,0.12645849585533142,1.0,4.999999873689376e-05
0.05411859601736069,0.9804447889328003,0.06706713885068893,1.0,4.999999873689376e-05
0.036022547632455826,0.9890720844268799,0.06753948330879211,1.0,4.999999873689376e-05
0.018728790804743767,0.9950153231620789,0.06606066226959229,0.9375,4.999999873689376e-05
0.020506301894783974,0.9932898879051208,0.017095714807510376,1.0,4.999999873689376e-05
0.019058993086218834,0.994056761264801,0.011365224607288837,1.0,4.999999873689376e-05
0.013858303427696228,0.994056761264801,0.010199854150414467,1.0,4.999999873689376e-05
0.017270786687731743,0.9942484498023987,0.059699080884456635,0.9375,4.999999873689376e-05
0.008222319185733795,0.9967408180236816,0.11888310313224792,0.9375,4.999999873689376e-05
0.010768086649477482,0.9967408180236816,0.015821440145373344,1.0,2.499999936844688e-05
0.0078686298802495,0.9969325065612793,0.011832659132778645,1.0,2.499999936844688e-05
0.005346630699932575,0.9978911280632019,0.02061869204044342,1.0,2.499999936844688e-05
0.001941091613844037,0.9996165633201599,0.003996250219643116,1.0,1.249999968422344e-05
0.00186620419844985,0.9996165633201599,0.004406786058098078,1.0,1.249999968422344e-05
0.004155220929533243,0.9986580014228821,0.005566814914345741,1.0,1.249999968422344e-05
0.0019088861299678683,0.9992331266403198,0.002430581720545888,1.0,1.249999968422344e-05
0.0024604126811027527,0.9992331266403198,0.001266481471247971,1.0,6.24999984211172e-06
0.0016985666006803513,0.9996165633201599,0.0014154223026707768,1.0,6.24999984211172e-06
0.0009702319512143731,0.9998083114624023,0.0034431759268045425,1.0,6.24999984211172e-06
0.0013171483296900988,0.9998083114624023,0.0017115399241447449,1.0,3.12499992105586e-06
0.003863205201923847,0.9988496899604797,0.002603295259177685,1.0,3.12499992105586e-06
0.0014258201699703932,0.9994248747825623,0.0021433806978166103,1.0,3.12499992105586e-06
0.0024108625948429108,0.9996165633201599,0.005242105107754469,1.0,1.56249996052793e-06
0.0009849504567682743,0.9996165633201599,0.004605816211551428,1.0,1.56249996052793e-06
0.0009734297054819763,0.9996165633201599,0.007437589578330517,1.0,1.56249996052793e-06
0.00368944788351655,0.9984662532806396,0.006380652077496052,1.0,7.81249980263965e-07
0.0016018504975363612,0.9994248747825623,0.003488631919026375,1.0,7.81249980263965e-07
0.0015413498040288687,0.9994248747825623,0.003285895334556699,1.0,7.81249980263965e-07
0.0010204485151916742,0.9996165633201599,0.0026513109914958477,1.0,4.999999987376214e-07
0.0006189585546962917,0.9998083114624023,0.002415354596450925,1.0,4.999999987376214e-07
